Parola,Esempio,Note,Pronuncia,Significato in Italiano,Tipo
clumsy,He's quite clumsy and often breaks things.,,/ˈklʌm.zi/,"Goffo, maldestro",Aggettivo
assertive,You need to be more assertive in meetings.,,/əˈsɜː.tɪv/,"Assertivo, sicuro di sé",Aggettivo
egotistical,His egotistical behavior annoyed everyone.,,/ˌiː.ɡəˈtɪs.tɪ.kəl/,"Egocentrico, presuntuoso",Aggettivo
gullible,Don't be so gullible – he's obviously lying.,,/ˈɡʌl.ə.bəl/,"Credulone, ingenuo",Aggettivo
assured,She spoke with an assured tone of voice.,,/əˈʃɔːd/,"Sicuro, certo",Aggettivo
bred,These dogs were bred for hunting.,,/bred/,"Allevato, cresciuto",Verbo (past participle di 'breed')
brought up,She was brought up in a small village.,,/brɔːt ʌp/,"Cresciuto, educato",Phrasal verb
deprecating (self-deprecating),His self-deprecating humor made everyone laugh.,,/ˈdep.rə.keɪ.tɪŋ/,"Autocritico, che si sminuisce",Aggettivo
well-mannered,This boy is so well‑mannered.,,/ˌwel ˈmæn.əd/,Ben educato,Aggettivo
reliant (on),Many elderly people are reliant on their families.,,/rɪˈlaɪ.ənt/,"Dipendente da, che fa affidamento su",Aggettivo
constrain,Budget cuts will constrain our options.,,/kənˈstreɪn/,"Limitare, costringere",Verbo
well-rounded,She has a well‑rounded education.,,/ˌwel ˈraʊn.dɪd/,"Completo, a tutto tondo",Aggettivo
out of character,It was out of character for him to be late.,,,"Fuori dal personaggio, non da lui/lei",Espressione
look down on,She tends to look down on people with less money.,,,Guardare dall'alto in basso,Phrasal verb
well-liked,He is well‑liked by his colleagues.,,,Benvoluto,Aggettivo
inherent,Risks are inherent in any investment.,,/ɪnˈher.ənt/,"Intrinseco, connaturato",Aggettivo
clear divide,There is a clear divide between the two groups.,,,Netta divisione,Sintagma nominale
on the one hand ... on the other (hand),On the one hand it's safer; on the other it's slower.,,,Da un lato ... dall'altro,Connettore
nevertheless,"It was raining; nevertheless, we went out.",,/ˌnev.ə.ðəˈles/,"Tuttavia, nondimeno",Connettore/Avv.
however,"However, the results were unexpected.",,/haʊˈev.ər/,"Tuttavia, però",Connettore/Avv.
on the other hand,"On the other hand, it could be risky.",,,D'altro canto,Connettore
therefore,"The product failed; therefore, we stopped funding it.",,/ˈðeə.fɔːr/,"Pertanto, quindi",Connettore
as a result,"The team worked hard; as a result, they won.",,,Di conseguenza,Connettore
in contrast,"In contrast, the new model is much faster.",,,"In contrasto, al contrario",Connettore
seldom,She seldom goes out on weekdays.,,/ˈsel.dəm/,Raramente,Avverbio
facility,The sports facility will open next month.,,/fəˈsɪl.ə.ti/,Struttura/impianto; facilità (abilità),Sostantivo
offenders,First‑time offenders may receive lighter sentences.,,/əˈfen.dərz/,"Trasgressori, rei",Sostantivo (pl.)
leaflet,They handed out a leaflet about the event.,,/ˈliː.flɪt/,"Volantino, opuscolo",Sostantivo
empower,The course aims to empower young entrepreneurs.,,/ɪmˈpaʊ.ər/,"Dare potere, responsabilizzare",Verbo
training,Staff training is provided annually.,Richiesto: 'training = formazione',/ˈtreɪ.nɪŋ/,"Formazione, addestramento",Sostantivo
on the matter,We need expert advice on the matter.,,,Sulla questione,Espressione
tailored,We offer tailored solutions for clients.,,/ˈteɪ.ləd/,"Su misura, personalizzato",Aggettivo
convey,How can we convey our message clearly?,,/kənˈveɪ/,"Trasmettere, comunicare",Verbo
downward,Prices show a downward trend.,,/ˈdaʊn.wəd/,Discendente; verso il basso,Aggettivo/Avv.
boasting,She is always boasting about her achievements.,,/ˈbəʊ.stɪŋ/,"Vantarsi, ostentare",Verbo (gerundio di 'boast')
tally,The final tally of votes was announced.,,/ˈtæl.i/,Conteggio; contare,Sostantivo/Verbo
round out,This new player will round out the team.,,,"Completare, arrotondare",Phrasal verb
garnering,He is garnering support for his campaign.,,/ˈɡɑː.nər.ɪŋ/,"Ottenere, raccogliere",Verbo (gerundio di 'garner')
powerhouses,Germany and Japan are economic powerhouses.,,/ˈpaʊə.haʊsɪz/,"Potenza, forza trainante",Sostantivo (pl.)
prowess,Her culinary prowess impressed everyone.,,/ˈpraʊ.es/,"Abilità, destrezza",Sostantivo
outline,The report outlines the main objectives.,,/ˈaʊt.laɪn/,Delineare; schema,Verbo/Sostantivo
noteworthy,It is noteworthy that sales increased by 50%.,,/ˈnəʊtˌwɜː.ði/,Degno di nota,Aggettivo
exhibited,He exhibited great patience.,,/ɪɡˈzɪb.ɪ.tɪd/,"Esposto, mostrato",Verbo (past di 'exhibit')
zenith,"At the zenith of his career, he was world-famous.",,/ˈzen.ɪθ/,"Zenit, apice",Sostantivo
upward trajectory,The company has been on an upward trajectory for years.,,,Traiettoria ascendente,Espressione
albeit,"He finally agreed, albeit reluctantly.",,/ˌɔːlˈbiː.ɪt/,"Benché, sebbene",Congiunzione
nuanced,She gave a nuanced interpretation of the poem.,,/ˈnjuː.ɑːnst/,"Sfumato, con sottigliezze",Aggettivo
staggering,The cost was a staggering $10 million.,,/ˈstæɡ.ər.ɪŋ/,Sbalorditivo,Aggettivo
lagging,The project is lagging behind schedule.,,/ˈlæɡ.ɪŋ/,"In ritardo, arretrato",Aggettivo/Verbo
the lower end,These products are aimed at the lower end of the market.,,,La fascia bassa,Espressione
conversely,"Conversely, low prices can lead to higher demand.",,/ˈkɒn.vɜːs.li/,Viceversa,Avverbio
underscore,The study underscores the importance of sleep.,,/ˌʌn.dəˈskɔːr/,Sottolineare,Verbo
cohort,A cohort of students participated in the study.,,/ˈkəʊ.hɔːt/,"Gruppo, coorte",Sostantivo
spanning,A career spanning five decades.,,/ˈspæn.ɪŋ/,"Estendendosi, coprendo",Verbo (gerundio di 'span')
fluctuations,Price fluctuations are common in this market.,,/ˌflʌk.tʃuˈeɪ.ʃənz/,Fluttuazioni,Sostantivo (pl.)
somewhat,I'm somewhat tired after the trip.,,/ˈsʌm.wɒt/,"In qualche modo, piuttosto",Avverbio
notably,He is notably absent from the meeting.,,/ˈnəʊ.tə.bli/,"Particolarmente, specialmente",Avverbio
shift,There has been a shift in public opinion.,,/ʃɪft/,"Cambio, spostamento",Sostantivo/Verbo
household,The average household income has risen.,,/ˈhaʊs.həʊld/,Nucleo familiare,Sostantivo
derelict,The building has been derelict for years.,,/ˈder.ə.lɪkt/,"Abbandonato, in rovina",Aggettivo
warehouse,The goods are stored in a warehouse.,,/ˈweə.haʊs/,Magazzino,Sostantivo
pond,Ducks are swimming in the pond.,,/pɒnd/,Stagno,Sostantivo
undergo,He will undergo surgery tomorrow.,,/ˌʌn.dəˈɡəʊ/,"Sottoporsi a, subire",Verbo
retain,It's hard to retain employees without incentives.,,/rɪˈteɪn/,"Mantenere, trattenere",Verbo
amenities,The hotel has excellent amenities.,,/əˈmiː.nə.tiz/,"Servizi, comfort",Sostantivo (pl.)
molten,Molten metal was poured into the mold.,,/ˈməʊl.tən/,"Fuso (riferito a metallo, vetro)",Aggettivo
annealing,Annealing strengthens the glass.,,/əˈniː.lɪŋ/,Ricottura (processo metallurgico/vetro),Sostantivo
assurance,He gave his assurance that it was true.,,/əˈʃʊə.rəns/,"Garanzia, assicurazione; sicurezza",Sostantivo
glassware,The shop sells fine glassware.,,/ˈɡlɑːs.weər/,Oggetti di vetro,Sostantivo
steepest surge,The market saw its steepest surge in years.,,,Aumento più ripido,Espressione
commodities,Oil and gold are valuable commodities.,,/kəˈmɒd.ə.tiz/,"Materie prime, beni",Sostantivo (pl.)
downturn,The economy is in a severe downturn.,,/ˈdaʊn.tɜːn/,"Calo, recessione",Sostantivo
elucidate,The professor elucidated the complex theory.,,/iˈluː.sɪ.deɪt/,"Chiarire, spiegare",Verbo
thereby,"He forgot to tie his shoes, thereby tripping and falling.",,/ˌðeəˈbaɪ/,In tal modo,Avverbio
wax lid,The jar was sealed with a wax lid.,,,Coperchio di cera,Sostantivo
in essence,"In essence, both plans achieve the same result.",,,In sostanza,Espressione
grazing,The cattle are grazing in the field.,,/ˈɡreɪ.zɪŋ/,"Pascere, brucare",Sostantivo
subsequently,She subsequently became the CEO.,,/ˈsʌb.sɪ.kwənt.li/,Successivamente,Avverbio
freshness,The freshness of the bread was remarkable.,,/ˈfreʃ.nəs/,Freschezza,Sostantivo
shelf life,This product has a shelf life of six months.,,,Durata di conservazione,Sostantivo
seamless,The process was seamless from start to finish.,,/ˈsiːm.ləs/,"Senza soluzione di continuità, fluido",Aggettivo
upward trend,Housing prices show an upward trend.,,,Tendenza al rialzo,Espressione
renowned,She is a renowned scientist in her field.,,/rɪˈnaʊnd/,Rinomato,Aggettivo
surge,There was a surge in online sales.,,/sɜːdʒ/,Aumento improvviso,Sostantivo/Verbo
mandated,The mandated changes must be implemented.,,/ˈmæn.deɪ.tɪd/,Obbligatorio; imposto,Aggettivo/Verbo
advocates,Advocates of the new policy gathered in the square.,,/ˈæd.və.kəts/,Sostenitori,Sostantivo (pl.)
broadening,The broadening of the road improved traffic flow.,,/ˈbrɔː.dən.ɪŋ/,"Allargamento, espansione",Sostantivo/Verbo
instigate,They instigated changes in the system.,,/ˈɪn.stɪ.ɡeɪt/,"Innescare, istigare",Verbo
opponents,The opponents argued against the proposal.,,/əˈpəʊ.nənts/,Avversari,Sostantivo (pl.)
contend,They contend that the law is unfair.,,/kənˈtend/,"Sostenere, affermare",Verbo
paramount,Safety is of paramount importance.,,/ˈpær.ə.maʊnt/,Di primaria importanza,Aggettivo
compelling,She made a compelling argument.,,/kəmˈpel.ɪŋ/,"Coinvolgente, convincente",Aggettivo
societal,The issue has broad societal implications.,,/səˈsaɪ.ə.təl/,Sociale,Aggettivo
blend,Blend the ingredients until smooth.,,/blend/,Mescolare; miscela,Verbo/Sostantivo
abrupt,The meeting came to an abrupt end.,,/əˈbrʌpt/,Improvviso,Aggettivo
withdrawal,The withdrawal of troops was announced.,,/wɪðˈdrɔː.əl/,"Ritiro, prelievo",Sostantivo
reliance,His reliance on his parents is concerning.,,/rɪˈlaɪ.əns/,Dipendenza,Sostantivo
infringement,Copyright infringement is illegal.,,/ɪnˈfrɪndʒ.mənt/,"Violazione, infrazione",Sostantivo
hazardous,Hazardous waste must be handled carefully.,,/ˈhæz.ə.dəs/,Pericoloso,Aggettivo
advocate,He advocates for equal rights.,,/ˈæd.və.kət/ o /ˈæd.və.keɪt/,Sostenitore; sostenere,Sostantivo/Verbo
proponents,The proponents of the plan are optimistic.,,/prəˈpəʊ.nənts/,"Proponenti, sostenitori",Sostantivo (pl.)
self-esteem,High self-esteem can lead to better performance.,,/ˌself.ɪˈstiːm/,Autostima,Sostantivo
behavioral,The study examined behavioral patterns in children.,,/bɪˈheɪ.vjər.əl/,Comportamentale,Aggettivo
foster,We aim to foster a sense of community.,,/ˈfɒs.tər/,"Favorire, promuovere",Verbo
nuanced view,She offered a nuanced view of the problem.,,,Visione sfumata,Espressione
coverage,The media coverage was extensive.,,/ˈkʌv.ər.ɪdʒ/,Copertura,Sostantivo
leverage,They used their experience as leverage.,,/ˈliː.vər.ɪdʒ/,Leva; sfruttare,Sostantivo/Verbo
scrutiny,The proposal is under scrutiny.,,/ˈskruː.tɪ.ni/,"Esame attento, scrutinio",Sostantivo
outcomes,The outcomes of the study were surprising.,,/ˈaʊt.kʌmz/,Risultati,Sostantivo (pl.)
relentless,He pursued his goals with relentless determination.,,/rɪˈlent.ləs/,Implacabile,Aggettivo
undue,The delay caused undue stress.,,/ʌnˈdjuː/,"Eccessivo, indebito",Aggettivo
withstand,This fabric can withstand high temperatures.,,/wɪðˈstænd/,"Resistere a, sopportare",Verbo
imperative,It is imperative to act now.,,/ɪmˈper.ə.tɪv/,Imperativo; di vitale importanza,Aggettivo/Sostantivo
to curb,Measures were taken to curb inflation.,,/kɜːb/,"Frenare, limitare",Verbo
proactive,We need a proactive approach to solve this.,,/ˌprəʊˈæk.tɪv/,Proattivo,Aggettivo
groundwork,He laid the groundwork for future progress.,,/ˈɡraʊnd.wɜːk/,Lavoro preparatorio,Sostantivo
assertion,His assertion was supported by evidence.,,/əˈsɜː.ʃən/,"Affermazione, asserzione",Sostantivo
array,The store offers an array of options.,,/əˈreɪ/,"Gamma, schiera",Sostantivo
foster skill,Training helps foster skills in employees.,,,Sviluppare una competenza,Espressione
solely,He is solely responsible for the decision.,,/ˈsəʊl.li/,"Unicamente, solo",Avverbio
retention,The retention of staff is a priority.,,/rɪˈten.ʃən/,"Mantenimento, ritenzione",Sostantivo
mediums,Social media are popular communication mediums.,,/ˈmiː.diəmz/,"Mezzi, canali",Sostantivo (pl.)
holistic,We take a holistic approach to healthcare.,,/həˈlɪs.tɪk/,"Olistico, globale",Aggettivo
inhibition,Alcohol can lower inhibition.,,/ˌɪn.hɪˈbɪʃ.ən/,Inibizione,Sostantivo
citizenry,The citizenry supported the new policy.,,/ˈsɪt.ɪ.zən.ri/,Cittadinanza,Sostantivo
ubiquitous,Smartphones have become ubiquitous.,,/juːˈbɪk.wɪ.təs/,Onnipresente,Aggettivo
internet browsing,He spends hours on internet browsing.,,,Navigazione in internet,Espressione
leisure,"In my leisure time, I read books.",,/ˈleʒ.ər/,Tempo libero,Sostantivo
stems,His fear stems from childhood experiences.,,/stems/,Deriva da,Verbo (3a pers. sing. di 'stem')
enticing,The offer was too enticing to refuse.,,/ɪnˈtaɪ.sɪŋ/,Allettante,Aggettivo
fulfillment,Helping others gave her a sense of fulfillment.,,/fʊlˈfɪl.mənt/,Soddisfazione,Sostantivo
benchmark,This exam is a benchmark for student progress.,,/ˈben(t)ʃ.mɑːk/,"Riferimento, standard",Sostantivo
pivotal,He played a pivotal role in the negotiations.,,/ˈpɪv.ə.təl/,Cruciale,Aggettivo
workforce,The company is expanding its workforce.,,/ˈwɜːk.fɔːs/,Forza lavoro,Sostantivo
grasps,She quickly grasps the main concepts.,,/ɡrɑːsps/,Afferra; comprensione,Verbo/Sostantivo
guideline,Follow the safety guidelines.,,/ˈɡaɪd.laɪn/,Linea guida,Sostantivo
hectic pace,The hectic pace of city life can be exhausting.,,,Ritmo frenetico,Espressione
ongoing,The ongoing investigation will take weeks.,,/ˈɒn.ɡəʊ.ɪŋ/,In corso,Aggettivo
heritage,The castle is part of our national heritage.,,/ˈher.ɪ.tɪdʒ/,Patrimonio,Sostantivo
rekindle,They tried to rekindle their friendship.,,/ˌriːˈkɪn.dəl/,Ravvivare,Verbo
reap,You reap what you sow.,,/riːp/,"Raccogliere, ottenere",Verbo
morale,The team's morale was high after the win.,,/məˈrɑːl/,"Morale, spirito",Sostantivo
manifold,The benefits are manifold.,,/ˈmæn.ɪ.fəʊld/,Molteplici,Aggettivo
hence,"The roads were icy; hence, the accident.",,/hens/,"Perciò, di conseguenza",Avverbio
for the sake of money,He did it for the sake of money.,,,Per il bene/solo per i soldi,Espressione
,,,,,